timestamp,detection_confidence,estimated_distance_cm,flight_time,battery,acc_x,acc_y,acc_z,pitch,roll,yaw_attitude,altitude_tof,vel_x,vel_y,vel_z,rc_lr,rc_fb,rc_ud,rc_yaw
2025-08-07T14:22:47.012225,0.6737819314002991,65.88235294117646,14,39,19.0,-7.0,-982.0,0,0,168,161,0,0,1,0,-10,-26,0
2025-08-07T14:22:47.035625,0.865018367767334,63.63636363636363,14,39,19.0,-7.0,-982.0,0,0,168,161,0,0,1,0,-11,-26,0
2025-08-07T14:22:47.069016,0.8783046007156372,64.36781609195403,14,39,19.0,-7.0,-982.0,0,0,168,161,0,0,1,0,-11,-27,0
2025-08-07T14:22:47.097673,0.9018647074699402,64.0,14,39,19.0,-7.0,-982.0,0,0,168,161,0,0,1,0,-11,-27,0
2025-08-07T14:22:47.122847,0.9130458831787109,64.73988439306359,14,39,14.0,-5.0,-988.0,0,0,168,160,0,0,1,0,-11,-26,0
2025-08-07T14:22:47.140335,0.9130458831787109,64.73988439306359,14,39,14.0,-5.0,-988.0,0,0,168,160,0,0,1,0,-11,-26,0
2025-08-07T14:22:47.162338,0.8904985189437866,62.745098039215684,14,39,14.0,-5.0,-988.0,0,0,168,160,0,0,1,0,-11,-26,0
2025-08-07T14:22:47.196336,0.875484049320221,63.45609065155807,14,39,14.0,-5.0,-988.0,0,0,168,160,0,0,1,0,-11,-26,0
2025-08-07T14:22:47.231335,0.9021960496902466,63.098591549295776,14,39,-4.0,9.0,-988.0,0,0,168,159,0,0,1,0,-11,-25,0
2025-08-07T14:22:47.252929,0.4840002954006195,64.36781609195403,14,39,-4.0,9.0,-988.0,0,0,168,159,0,0,1,0,-11,-25,0
2025-08-07T14:22:47.280015,0.7812963128089905,63.27683615819209,14,39,-4.0,9.0,-988.0,0,0,168,159,0,0,1,0,-11,-25,0
2025-08-07T14:22:47.303138,0.7812963128089905,63.27683615819209,14,39,-4.0,9.0,-988.0,0,0,168,159,0,0,1,0,-11,-25,0
2025-08-07T14:22:47.335139,0.8676846623420715,62.92134831460674,15,39,3.0,8.0,-990.0,0,0,168,157,0,0,1,0,-12,-25,0
2025-08-07T14:22:47.360854,0.7648378014564514,92.56198347107438,15,39,3.0,8.0,-990.0,0,0,168,157,0,0,1,0,-10,-24,-27
2025-08-07T14:22:47.380425,0.7648378014564514,92.56198347107438,15,39,3.0,8.0,-990.0,0,0,168,157,0,0,1,0,-9,-24,-17
2025-08-07T14:22:47.409432,0.6947664022445679,62.92134831460674,15,39,3.0,8.0,-990.0,0,0,168,157,0,0,1,0,-9,-24,0
2025-08-07T14:22:47.429500,0.82401043176651,62.22222222222222,15,39,7.0,-10.0,-989.0,0,0,168,156,0,0,1,0,-9,-24,0
2025-08-07T14:22:47.454280,0.8714672923088074,62.745098039215684,15,39,7.0,-10.0,-989.0,0,0,168,156,0,0,1,0,-9,-23,0
2025-08-07T14:22:47.471479,0.8714672923088074,62.745098039215684,15,39,7.0,-10.0,-989.0,0,0,168,156,0,0,1,0,-11,-23,0
2025-08-07T14:22:47.485891,0.8078243732452393,62.56983240223464,15,39,7.0,-10.0,-989.0,0,0,168,156,0,0,1,0,-13,-22,0
2025-08-07T14:22:47.508452,0.8078243732452393,62.56983240223464,15,39,7.0,-10.0,-989.0,0,0,168,156,0,0,1,0,-13,-22,0
2025-08-07T14:22:47.536021,0.8564271330833435,62.745098039215684,15,39,-11.0,-1.0,-1008.0,0,0,168,154,0,0,1,0,-13,-22,0
2025-08-07T14:22:47.548471,0.8962115049362183,63.45609065155807,15,39,-11.0,-1.0,-1008.0,0,0,168,154,0,0,1,0,-13,-22,0
2025-08-07T14:22:47.567596,0.8962115049362183,63.45609065155807,15,39,-11.0,-1.0,-1008.0,0,0,168,154,0,0,1,0,-13,-22,0
2025-08-07T14:22:47.605302,0.8789747357368469,63.45609065155807,15,39,-11.0,-1.0,-1008.0,0,0,168,154,0,0,1,0,-13,-21,0
